dept_id,dept_name,data_loaded_at
1,Manager,2024-10-08 16:11:56.496826
2,Engineering/Development,2024-10-08 16:11:56.496826
3,Product Management,2024-10-08 16:11:56.496826
4,Quality Assurance,2024-10-08 16:11:56.496826
5,Information Technology,2024-10-08 16:11:56.496826
6,Data Science/Analytics,2024-10-08 16:11:56.496826
7,DevOps,2024-10-08 16:11:56.496826
8,Cybersecurity,2024-10-08 16:11:56.496826
9,User Interface/User Experience Design,2024-10-08 16:11:56.496826
10,Sales,2024-10-08 16:11:56.496826
11,Marketing,2024-10-08 16:11:56.496826
12,Customer Support/Success,2024-10-08 16:11:56.496826
13,Human Resources,2024-10-08 16:11:56.496826
14,Finance,2024-10-08 16:11:56.496826
15,Legal/Compliance,2024-10-08 16:11:56.496826
